,location,Winterthur,Zurich,Bern,Luzern,Altdorf,Schwyz,Sarnen,Stans,Glarus,Zug,Fribourg,Solothurn,Basel,Liestal,Schaffhausen,Herisau,Appenzell,St_Gallen,Chur,Aarau,Frauenfeld,Bellinzona,Lausanne,Sion,Neuchatel,Geneve,Delemont
0,Winterthur,0,25936,145050,84132,108369,93369,103589,99030,81770,68497,177843,116428,104604,99686,26447,55974,70596,59341,160668,67903,17732,210965,248184,296670,172577,297884,138226
1,Zurich,25936,0,132930,51400,75636,60636,70856,66298,69712,35765,165723,104308,92484,87566,50859,82636,97257,86002,118660,55783,44393,178233,236064,284550,160457,285764,126106
2,Bern,145050,132930,0,111962,152232,150998,131418,126859,194063,137772,36022,44923,97359,81964,170580,202357,216979,205723,243011,83180,164115,252357,106377,154849,49972,156078,88432
3,Luzern,84132,51400,111962,0,42850,45856,22036,17478,92235,32630,144254,82839,95505,80110,108935,140711,155333,144078,141183,63578,102469,142975,214595,263081,138988,264295,103680
4,Altdorf,108369,75636,152232,42850,0,19738,43890,27705,85680,42909,184123,122708,135374,119979,133449,165225,120949,168592,134628,103448,126983,107025,254464,158543,178858,304165,143549
5,Schwyz,93369,60636,150998,45856,19738,0,59236,43051,65985,26377,181804,120389,132784,117660,116917,94218,101254,114675,114933,96083,110451,122371,252145,173889,176538,301845,141230
6,Sarnen,103589,70856,131418,22036,43890,59236,0,19852,112242,52637,164261,102846,115512,100117,128942,160718,175340,164085,161190,83586,122476,145349,234602,151632,158995,284302,123687
7,Stans,99030,66298,126859,17478,27705,43051,19852,0,105859,46254,157878,96463,109129,93734,122559,154335,168957,157702,154807,77203,116093,128426,228219,167908,152612,277919,117304
8,Glarus,81770,69712,194063,92235,85680,65985,112242,105859,0,61749,227027,165612,153788,148870,105189,68599,75635,89056,70640,117087,79988,186504,297368,345855,221762,347069,187410
9,Zug,68497,35765,137772,32630,42909,26377,52637,46254,61749,0,168287,106872,107658,104143,91792,123568,96832,126935,110511,70958,85326,145668,238628,287114,163021,288328,127713
10,Fribourg,177843,165723,36022,144254,184123,181804,164261,157878,227027,168287,0,76750,129186,113790,202407,234184,248805,237550,274838,115007,195941,284183,73428,125161,44001,137406,120259
11,Solothurn,116428,104308,44923,82839,122708,120389,102846,96463,165612,106872,76750,0,68803,53408,142024,173801,188423,177167,214455,54624,135559,223801,147058,195544,60326,196758,66220
12,Basel,104604,92484,97359,95505,135374,132784,115512,109129,153788,107658,129186,68803,0,17617,130930,162707,177329,166073,203361,55615,124465,237222,201107,249594,125500,250807,42501
13,Liestal,99686,87566,81964,80110,119979,117660,100117,93734,148870,104143,113790,53408,17617,0,127030,158807,173429,162173,199461,52134,120565,221311,185195,233682,109589,234896,51383
14,Schaffhausen,26447,50859,170580,108935,133449,116917,128942,122559,105189,91792,202407,142024,130930,127030,0,79037,93659,82404,183731,93668,40795,236730,273949,322435,198342,323649,163991
15,Herisau,55974,82636,202357,140711,165225,94218,160718,154335,68599,123568,234184,173801,162707,158807,79037,0,14524,10842,112169,125500,44585,228032,305780,354267,230174,355481,195823
16,Appenzell,70596,97257,216979,155333,120949,101254,175340,168957,75635,96832,248805,188423,177329,173429,93659,14524,0,16603,77882,140127,59213,193745,320408,368894,244801,370108,210450
17,St_Gallen,59341,86002,205723,144078,168592,114675,164085,157702,89056,126935,237550,177167,166073,162173,82404,10842,16603,0,103765,128142,47228,219629,308423,356909,232816,358123,198465
18,Chur,160668,118660,243011,141183,134628,114933,161190,154807,70640,110511,274838,214455,203361,199461,183731,112169,77882,103765,0,168989,151480,117166,349270,397757,273664,398971,239312
19,Aarau,67903,55783,83180,63578,103448,96083,83586,77203,117087,70958,115007,54624,55615,52134,93668,125500,140127,128142,168989,0,86440,204880,185769,234256,110163,235470,74855
20,Frauenfeld,17732,44393,164115,102469,126983,110451,122476,116093,79988,85326,195941,135559,124465,120565,40795,44585,59213,47228,151480,86440,0,229579,266797,315284,191191,316498,156839
21,Bellinzona,210965,178233,252357,142975,107025,122371,145349,128426,186504,145668,284183,223801,237222,221311,236730,228032,193745,219629,117166,204880,229579,0,355406,181031,279799,396041,244491
22,Lausanne,248184,236064,106377,214595,254464,252145,234602,228219,297368,238628,73428,147058,201107,185195,273949,305780,320408,308423,349270,185769,266797,355406,0,96121,73479,63185,149986
23,Sion,296670,284550,154849,263081,158543,173889,151632,167908,345855,287114,125161,195544,249594,233682,322435,354267,368894,356909,397757,234256,315284,181031,96121,0,167364,162585,241625
24,Neuchatel,172577,160457,49972,138988,178858,176538,158995,152612,221762,163021,44001,60326,125500,109589,198342,230174,244801,232816,273664,110163,191191,279799,73479,167364,0,123316,77187
25,Geneve,297884,285764,156078,264295,304165,301845,284302,277919,347069,288328,137406,196758,250807,234896,323649,355481,370108,358123,398971,235470,316498,396041,63185,162585,123316,0,200049
26,Delemont,138226,126106,88432,103680,143549,141230,123687,117304,187410,127713,120259,66220,42501,51383,163991,195823,210450,198465,239312,74855,156839,244491,149986,241625,77187,200049,0
