,location,lat,lon,point
0,Abfallverwertung,47.4982568,8.7514953,"(47.4982568, 8.7514953)"
1,Iberg,47.4660596,8.7792541,"(47.4660596, 8.7792541)"
2,Eidberg,47.47412,8.7945817,"(47.47412, 8.7945817)"
3,Bahnhof_Seen,47.4874281,8.7667673,"(47.4874281, 8.7667673)"
4,Bahnhof_Wulflingen,47.5064599,8.6809643,"(47.5064599, 8.6809643)"
5,Bahnhof_Toss,47.4898671,8.7100885,"(47.4898671, 8.7100885)"
6,Bahnhof_Seuzach,47.5356393,8.7390219,"(47.5356393, 8.7390219)"
7,Bahnhof_Gruze,47.4987187,8.7510097,"(47.4987187, 8.7510097)"
8,Kantonsschule_Rychenberg,47.50506485,8.738057076445287,"(47.50506485, 8.738057076445287)"
9,Stadthaus,47.5004116,8.7306033,"(47.5004116, 8.7306033)"
10,Fachschule_Hard,47.49940865,8.694544963356769,"(47.49940865, 8.694544963356769)"
11,Technopark,47.494773,8.7162875,"(47.494773, 8.7162875)"
12,Breite,47.4903458,8.7260667,"(47.4903458, 8.7260667)"
13,Kantonsspital,47.506859899999995,8.728524077691285,"(47.506859899999995, 8.728524077691285)"
14,Museum_Romerholz,47.511388350000004,8.731626998025042,"(47.511388350000004, 8.731626998025042)"
15,Sulzer,47.4982047,8.7189219,"(47.4982047, 8.7189219)"
16,Dattnau,47.4851347,8.6915256,"(47.4851347,8.6915256)"
17,Lindspitz,47.5091858,8.7229233,"(47.5091858, 8.7229233)"
18,Rosenberg,47.5192734,8.721567,"(47.5192734, 8.721567)"
19,Alte_Kaserne,47.4978868,8.7314601,"(47.4978868, 8.7314601)"
20,ZHAW_Technikum,47.4979024,8.7296453,"(47.4979024, 8.7296453)"
21,ZHAW_Volkart,47.50213145,8.72623043172608,"(47.50213145, 8.72623043172608)"
22,Schloss_Wulflingen,47.511302150000006,8.699386223507224,"(47.511302150000006, 8.699386223507224)"
23,Rosenau,47.4870226,8.7085805,"(47.4870226, 8.7085805)"
24,Feuerwehr,47.49534385,8.73348852153845,"(47.49534385, 8.73348852153845)"
25,Technorama,47.5133411,8.7631665,"(47.5133411, 8.7631665)"
26,ConCordia,47.5090675,8.7172061,"(47.5090675, 8.7172061)"
